id,city,name,website,address,address_2,zip,state,phone,email,notes,latitude,longitude
1,Lompoc,,,325 N. Second Street,,93436,CA,(805) 736-6226,,,34.6431904,-120.4467844
2,Carpinteria,,,941 Walnut Avenue,,93013,CA,(805) 684-8621,,,34.397271,-119.5171604
3,Santa Barbara,test123,www.recover123.test,1532 Castillo Street,123,93101,CA,(805) 364-2727,123@test.com,123,34.4228164,-119.7136682
8,Santa Barbara,,,721 Spring Street,,93103,CA,(805) 455-4568,,,34.4291185,-119.688214
10,Santa Barbara,,,327 E. Victoria Street,,93101,CA,(805) 882-2294,givingtreesaplings@yahoo.com,,34.4284598,-119.7018117
11,Santa Barbara,,,1107 San Andres Street,,93101,CA,(805) 617-9893,,,34.41503,-119.71157
12,Santa Barbara,New House Grad House,,2021 Castillo Street,,93105,CA,(805) 563-6050,,,34.4268304,-119.7199581
13,Santa Barbara,New House II,,227 W. Haley Street,,93101,CA,(805) 962-8248,,,34.4199599,-119.6925474
14,Santa Barbara,New House III,, 2434 Bath Street,,93105,CA,(805) 563-6050,,,34.4323337,-119.7242116
15,Santa Barbara,,,1515 Bath Street,,93101,CA,(805) 966-1260,recovery@casaserena.org,,34.4231811,-119.7124464
16,Lompoc ,,,1100 W Laurel Avenue,,93436,CA,(805) 737-7080,,,34.6430309,-120.4714057
17,Santa Barbara ,,,234 Camino del Remedio,,93110,CA,(805) 681-4401,,,34.4444764,-119.7787398
18,Santa Barbara,,,535 E. Yanonali Street,,93103,CA,(805) 966-1316,,,34.4191537,-119.6845892
19,Santa Barbara,,,P.O. Box 446,,93102,CA,(805) 965-4989,,,34.4217773,-119.6975029
20,Santa Barbara,Men's House,,1227 San Andres St,,93101,CA,(805) 965-4989,,Dual diagnosis sober living home for men. Cost: $200/week AND $150 deposit ,34.4164569,-119.7134361
21,Santa Barbara ,Men's House(Kelly James Berger),,731 E Haley St,,93103,CA,(805) 451-2461,,Sober living home for men. ,34.4252019,-119.6868764
22,Santa Barbara,Women's House(Sarah Ringler),,23 W Mission St,,93101,CA,(805) 636-3633,,"Sober living home for women. 
Cost: $200/week AND $150 deposit 
",34.4301217,-119.7151615
23,Santa Barbara,Women's House(Sarah Ringler),,231 W Haley St,,93101,CA,(805) 335-0708,,"Sober living home for women. 
Cost: $200/week AND $150 deposit
",34.4136662,-119.6984627
24,Santa Barbara,,,1818 Bath Street,,93101,CA,(805) 896-6865,,,34.4266317,-119.7156593
25,Santa Barbara ,,,604 N. Kellog Avenue,,93111,CA,(805) 683-2838,,,34.4488281,-119.8182067
26,Santa Barbara,,,832 Jennings Street,,93103,CA,(805) 965-2070,,,34.4236359,-119.6822145
27,Santa Barbara,Downtown,,1121 Walnut Ave,,93101,CA,(805) 698-4889,scott@allstarrecoverysb.com,"Sober living home for men.
Cost: $700/month OR $175/week",34.4171858,-119.7101838
28,Santa Barbara,Uptown,,5018 Calle Real Road,,93111,CA,(805) 698-4889,scott@allstarrecoverysb.com,,34.4420569,-119.7976253
29,Santa Barbara,Cottage Hospital,,400 W. Pueblo Street,,93105,CA,(805) 569-7253,kkaur@sbch.org,,34.4295357,-119.7241169
30,Santa Barbara,Project Recovery Detox Center,,133 W. Haley Street,,93101,CA,(805) 963-1836,,,34.41483,-119.69755
31,Santa Barbara,Bethel House,,24 W. Arrellaga Street,,93101,CA,,,"12-step Christian based residential treatment facility for women. 24-bed availability. Bilingual.
Cost: FREE",34.426847,-119.7105458
32,Santa Barbara,Men's Recovery,,535 E. Yanonali Street,,93103,CA,(805) 966-1313,lchandler@sbrm.org,,34.4191537,-119.6845892
33,Santa Barbara,Cottage Residential Center,,316 W. Montecito Street,,93101,CA,(805) 569-7422,,The program provides medically supervised care and is open to men and women 18 years and older,34.411501,-119.6972068
34,Santa Barbara,,,423 Chapala Street,,93101,CA,(805) 648-6295,,"Residential treatment facility for men and women. Cost: FREE -- 
70 bed transitional shelter. Goal is for each person  housed to obtain self-sufficiency by maintaining secure  income and finding stable housing. Call 805-962-6281",34.4151452,-119.6964835
35,Ventura,,,P.O. Box 1064,,93002,CA,(805) 648-3295,info@teenchallenge.org,,34.36,-119.3
36,Santa Barbara,Adult Residential Treatment,,232 E. Canon Perdido Street,,93101,CA,(805) 963-1836,,"Residential treatment center for men and women with  addiction or co-occurring disorders. 
Cost: UNKNOWN 
",34.4178243,-119.7038947
39,Santa Barbara,,,26 W. Figueroa Street,,93101,CA,(805) 963-8961,,,34.4218444,-119.7041191
40,Santa Barbara,,,24 W. Arrellaga Street,,93101,CA,(805) 966-1316,,"Group and individual counseling. Mandatory testing before group. Tuesdays and Thursdays 5:00-6:15 p.m. 
",34.426847,-119.7105458
44,Santa Barbara,,,4129 State Street ,,93110,CA,(805) 964-4795,,,34.4401513,-119.7607451
46,Santa Barbara ,,,205 W. Mission Street,,93101,CA,(805) 242-2175,info@goodheartrecovery.com,,34.428309,-119.7169263
47,Santa Barbara,,,1111 Garden Street,,93101,CA,,,,34.4257807,-119.7003978
48,Santa Barbara,,,1111 Garden Street,,93101,CA,,,,34.4257807,-119.7003978
49,Santa Barbara ,,,"125 Harbor Way, Marine Center Classroom",,93109,CA,,,,34.4036438,-119.6934237
50,Santa Barbara,,,235 E. Cota,,93101,CA,,,,34.4209378,-119.6937105
51,Santa Barbara,,,227 W. Haley Street,,93103,CA,,,,34.4199599,-119.6925474
52,Santa Barbara,,,1515 Bath Street,,93101,CA,,,,34.4231811,-119.7124464
53,Santa Barbara,,,235 E. Cota Street,,93101,CA,,,,34.4209378,-119.6937105
54,Lompoc ,,,109 N H Street ,,93436,CA,(805) 735-6723,,,34.6385821,-120.4580349
56,Santa Barbara,,,130 E Ortega Street ,,93101,CA,(805) 568-1296,,,34.4168918,-119.7002617
58,Santa Barbara ,,,125 E De La Guerra St Ste A,,93101,CA,(805) 963-5370,,,34.4176021,-119.700984
59,Santa Barbara ,,,1300 Santa Barbara St Ste A ,,93101,CA,(805) 560-8658,,,34.4267261,-119.7035766
60,Santa Barbara,,,3700 State Street Ste 200 ,,93105,CA,(805) 569-9024,,,34.4411015,-119.7423553
61,Santa Barbara ,,,1019 Chapala Street,,93101,CA,(805) 687-1200,,,34.4206182,-119.7041071
75,Santa Barbara,,,909 La Cumbre Road,,93110,CA,,,,34.4542814,-119.7518784
78,Santa Barbara,,,Leadbetter Beach,,93101,CA,,,,34.4024155,-119.6991599
79,Santa Barbara,,,125 Harbor Way,,93109,CA,,,Marine Center Classroom,34.4036438,-119.6934237
80,Santa Barbara,,,127 E. Carrillo Street,,93101,CA,,,,34.4194564,-119.7035123
81,Santa Barbara,,,2434 Bath Street,,93105,CA,,,,34.4323337,-119.7242116
82,Santa Barbara,,,227 E. Arrellaga Street,,93101,CA,,,,34.4301186,-119.7070839
83,Santa Barbara,,,21 E. Constance Avenue,,93105,CA,,,Church Garden Room,34.4361627,-119.722603
84,Santa Barbara,,,305 E. Anapamu Street,,93101,CA,,,,34.4269434,-119.7012007
85,Santa Barbara,,,227 W. Haley Street,,93101,CA,,,,34.4199599,-119.6925474
86,Santa Barbara ,,, 721 Cliff Drive,,93109,CA,,,,34.4060713,-119.6990924
87,Santa Barbara,,,113 Harbor Way,,93109,CA,,,,34.4039899,-119.6938017
88,Santa Barbara,,,2964 Las Canoas Road,,93105,CA,,,,34.4529224,-119.7082693
89,Santa Barbara,,,601 E. Montecito Street,,93103,CA,,,,34.4216815,-119.6862934
90,Santa Barbara,,,627 Bath Street,,93101,CA,,,,34.415053,-119.701227
91,Santa Barbara,,,112 W. Cabrillo Boulevard,,93101,CA,,,,34.4111402,-119.6911326
92,Santa Barbara,,,906 De La Vina Street,,93101,CA,,,,34.4188578,-119.702922
93,Santa Barbara,,,21 E. Constance Avenue,,93105,CA,,,"Mon 5:30pm(Hospitals & Institutions), Tue 7pm (Men), Wed 7pm (Women)

All other times are open to all",34.4361627,-119.722603
94,Santa Barbara,,,5073 Hollister Avenue,,93111,CA,,,,34.4343908,-119.8000989
95,Santa Barbara,,,5444 Hollister Avenue,,93111,CA,,,,34.4358401,-119.8147475
96,Santa Barbara,Grateful Group,,4575 Auhay Drive,,93110,CA,,,,34.4373242,-119.7796434
98,Santa Barbara,,,83 Eucalyptus Lane,,93108,CA,,,,34.4210331,-119.6312174
100,Goleta,,,6067 Shirrell Way,,93117,CA,,,,34.4437603,-119.8335886
101,Santa Barbara,,,2101 State Street,,93105,CA,(805) 682-7146,office@santabarbarafirst.org,,34.431681,-119.7164808
104,Santa Barbara ,,,1535 Santa Barbara Street,,93101,CA,(805) 965-4583,USSB@USSB.ORG,,34.4287823,-119.7073554
105,Santa Barbara,,,1964 Las Canoas Road,,93105,CA,,,,34.4573968,-119.6955265
106,Santa Barbara,,,1455 E. Valley Road,,93108,CA,(805) 969-5041,,,34.436553,-119.6341654
107,Montecito,,,1300 E. Valley Road,,93108,CA,(805) 969-6868,collins@mtcarmelsb.com,,34.4364505,-119.6412402
